id,nx,ny,lat,lon,Sand,Silt,Clay,Slope,Elevation,MAT,MAP,pH,TOC,TN,SRG_Acrisols,SRG_Alisols,SRG_Andosols,SRG_Arenosols,SRG_Cambisols,SRG_Ferralsols,SRG_Fluvisols,SRG_Gleysols,SRG_Lixisols,SRG_Luvisols,SRG_Nitisols,SRG_Plinthosols,SRG_Podzol,SRG_Regosols,SRG_Umbrisols
102,249,168,5.75,-55.25,0.301,0.3442,0.3131,0.1361,11.3852,26.625,2060.3057,4.9458,5.55479,0.146,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
103,250,168,5.75,-54.75,0.2854,0.3905,0.3241,0.1469,9.7992,26.5333,2180.1667,4.9433,3.69619,0.15135,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
104,251,168,5.75,-54.25,0.2522,0.4267,0.3211,0.1502,12.2718,26.5097,2243.7742,4.863,3.64296,0.09337,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105,225,169,5.25,-67.25,0.1678,0.3258,0.5064,2.0761,223.8564,25.6917,2782.4722,3.542,1.1769,0.09615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,226,169,5.25,-66.75,0.13,0.33,0.54,4.1608,578.7489,24.7833,2911.0557,3.5,1.2,0.09739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,227,169,5.25,-66.25,0.4772,0.1626,0.3602,3.7081,432.345,26.8833,2701.6389,3.624,0.6854,0.10795,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
108,228,169,5.25,-65.75,0.678,0.0959,0.2261,1.3096,165.22,26.7944,2611.2222,4.394,0.6195,0.09578,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
109,229,169,5.25,-65.25,0.734,0.1216,0.1444,4.9899,686.2631,22.4139,3099.1943,5.636,0.942,0.08482,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
110,230,169,5.25,-64.75,0.5444,0.2148,0.2408,3.7776,752.627,25.2944,3482.8611,4.976,0.9636,0.08667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,231,169,5.25,-64.25,0.2962,0.3152,0.3886,1.4096,359.7211,25.2611,3448.3057,3.723,1.0301,0.09507,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,232,169,5.25,-63.75,0.2464,0.3178,0.4358,1.569,387.032,25.2139,3721.1389,3.637,1.1152,0.10052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,233,169,5.25,-63.25,0.31,0.31,0.38,1.3106,393.5325,25.4306,3908.5278,3.7,1.09,0.10292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,234,169,5.25,-62.75,0.389,0.2331,0.3779,1.3477,418.3889,25.1472,3737.8611,3.471,1.2504,0.10158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,235,169,5.25,-62.25,0.71,0.1286,0.1614,4.9769,730.0739,20.5861,2906.0557,4.75,0.7836,0.09703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,236,169,5.25,-61.75,0.7016,0.1388,0.1596,6.4155,1313.4937,21.375,2709.6943,4.436,0.7608,0.09116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,237,169,5.25,-61.25,0.6601,0.1533,0.1866,3.1446,1126.7622,20.9806,2110.9167,4.337,0.7908,0.08937,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,238,169,5.25,-60.75,0.4413,0.2449,0.3138,4.1981,1083.3044,21.0583,1721.75,4.2,1.5322,0.10853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,239,169,5.25,-60.25,0.536,0.2432,0.2208,3.3833,812.4214,21.6528,1800.4445,4.7,1.6779,0.09763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,240,169,5.25,-59.75,0.594,0.162,0.244,2.9247,852.1186,23.2194,2519.4443,4.68,1.67,0.13842,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121,241,169,5.25,-59.25,0.808,0.0945,0.0975,2.8066,379.9442,25.3111,2997.9443,4.356,1.6058,0.12305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,242,169,5.25,-58.75,0.821,0.029,0.15,1.5889,134.4172,26.3167,2815.8057,4.59,1.046,0.10731,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
123,243,169,5.25,-58.25,0.8375,0.0215,0.141,1.0176,93.3647,26.5333,2515.1667,4.779,1.0982,0.10716,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
124,244,169,5.25,-57.75,0.8219,0.0266,0.1515,0.3768,57.7291,26.7417,2220.8889,4.795,1.1514,0.09263,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,245,169,5.25,-57.25,0.4333,0.1598,0.1569,0.2358,44.0039,27.0639,2102.3057,4.409,13.3392,0.17296,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,246,169,5.25,-56.75,0.4987,0.1874,0.1239,0.2117,31.2623,27.0611,2233,4.406,10.3117,0.13105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127,247,169,5.25,-56.25,0.3798,0.122,0.0582,0.2138,29.2428,27.0111,2186.0833,4.104,21.6273,0.22417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,248,169,5.25,-55.75,0.4738,0.189,0.1072,0.1832,28.5706,26.7222,2219.6943,4.345,12.1326,0.15563,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
129,249,169,5.25,-55.25,0.5348,0.2389,0.2163,0.2968,35.5867,26.5194,2244.1111,4.442,2.1423,0.13236,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
130,250,169,5.25,-54.75,0.463,0.209,0.328,0.2977,38.6628,26.5472,2238.3057,4.27,1.6528,0.08882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,251,169,5.25,-54.25,0.5728,0.105,0.3222,0.3839,52.0161,26.3194,2460.6667,4.316,1.3555,0.12574,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,252,169,5.25,-53.75,0.5074,0.0642,0.4284,0.453,67.3897,26.0278,2533.3057,4.215,1.118,0.13213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,253,169,5.25,-53.25,0.2857,0.3059,0.4084,0.4765,64.8287,25.8389,2690.2778,4.202,1.9868,0.11481,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,254,169,5.25,-52.75,0.063,0.617,0.32,0.4207,45.7346,25.92,2875.72,4.27,3.068,0.09107,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
135,224,170,4.75,-67.75,0.874,0.0705,0.0555,0.3418,103.3728,27.8056,2927,4.131,0.6099,0.09734,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136,225,170,4.75,-67.25,0.4753,0.1938,0.3309,2.4756,251.9683,25.6111,3035.0557,3.862,0.9114,0.09184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,226,170,4.75,-66.75,0.171,0.315,0.514,5.1275,1033.1202,22.6889,3128.0557,3.515,1.1555,0.09815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,227,170,4.75,-66.25,0.579,0.1221,0.2989,3.3952,394.7825,27.275,2764.9722,3.661,0.5638,0.10573,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
139,228,170,4.75,-65.75,0.624,0.1257,0.2503,0.4532,138.5908,26.4389,2718.7778,4.462,0.7285,0.08622,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
